"DATE","MODEL_TYPE","MODEL_VERSION","MODELLER","TRAIN_AUC","TEST_AUX"
"2018-06-25 | 2018-06-25 15:48:12","benchmark - GLM",0,"Rado",0.737367093053731,0.740646572294657
"2018-06-28 | 2018-06-28 13:47:18","benchmark - GLM",0,"Rado",0.724573862041582,0.726503420785385
